fixIdx,legIdx,zoneIdx,tickLead,tickRace,time,lat,lng,alt,togo
1,1,1,-5359.987414873579,-10540.310850978281,,,,232.0,157.019
2,1,2,-5358.987414873579,-10539.310850978281,,,,232.0,157.016
3,1,3,-5357.987414873579,-10538.310850978281,,,,231.0,157.012
4,1,4,-5356.987414873579,-10537.310850978281,,,,231.0,157.005
5,1,5,-5355.987414873579,-10536.310850978281,,,,231.0,156.999
6,1,6,-5354.987414873579,-10535.310850978281,,,,232.0,156.989
7,1,7,-5353.987414873579,-10534.310850978281,,,,233.0,156.981
8,1,8,-5352.987414873579,-10533.310850978281,,,,234.0,156.971
9,1,9,-5351.987414873579,-10532.310850978281,,,,235.0,156.959
10,1,10,-5350.987414873579,-10531.310850978281,,,,236.0,156.945
11,1,11,-5349.987414873579,-10530.310850978281,,,,238.0,156.932
12,1,12,-5348.987414873579,-10529.310850978281,,,,240.0,156.918
13,1,13,-5347.987414873579,-10528.310850978281,,,,244.0,156.905
14,1,14,-5346.987414873579,-10527.310850978281,,,,247.0,156.893
15,1,15,-5345.987414873579,-10526.310850978281,,,,253.0,156.881
16,1,16,-5344.987414873579,-10525.310850978281,,,,257.0,156.869
17,1,17,-5343.987414873579,-10524.310850978281,,,,264.0,156.858
18,1,18,-5342.987414873579,-10523.310850978281,,,,271.0,156.845
19,1,19,-5341.987414873579,-10522.310850978281,,,,278.0,156.834
20,1,20,-5340.987414873579,-10521.310850978281,,,,284.0,156.824
21,1,21,-5339.987414873579,-10520.310850978281,,,,289.0,156.815
22,1,22,-5338.987414873579,-10519.310850978281,,,,292.0,156.807
23,1,23,-5337.987414873579,-10518.310850978281,,,,293.0,156.799
24,1,24,-5336.987414873579,-10517.310850978281,,,,294.0,156.791
25,1,25,-5335.987414873579,-10516.310850978281,,,,295.0,156.781
26,1,26,-5334.987414873579,-10515.310850978281,,,,296.0,156.772
27,1,27,-5333.987414873579,-10514.310850978281,,,,297.0,156.764
28,1,28,-5332.987414873579,-10513.310850978281,,,,297.0,156.756
29,1,29,-5331.987414873579,-10512.310850978281,,,,298.0,156.746
30,1,30,-5330.987414873579,-10511.310850978281,,,,299.0,156.736
31,1,31,-5329.987414873579,-10510.310850978281,,,,300.0,156.728
32,1,32,-5328.987414873579,-10509.310850978281,,,,302.0,156.718
33,1,33,-5327.987414873579,-10508.310850978281,,,,303.0,156.709
34,1,34,-5326.987414873579,-10507.310850978281,,,,305.0,156.699
35,1,35,-5325.987414873579,-10506.310850978281,,,,307.0,156.69
36,1,36,-5324.987414873579,-10505.310850978281,,,,309.0,156.681
37,1,37,-5323.987414873579,-10504.310850978281,,,,311.0,156.674
38,1,38,-5322.987414873579,-10503.310850978281,,,,314.0,156.665
39,1,39,-5321.987414873579,-10502.310850978281,,,,316.0,156.653
40,1,40,-5320.987414873579,-10501.310850978281,,,,320.0,156.643
41,1,41,-5319.987414873579,-10500.310850978281,,,,323.0,156.629
42,1,42,-5318.987414873579,-10499.310850978281,,,,326.0,156.617
43,1,43,-5317.987414873579,-10498.310850978281,,,,329.0,156.601
44,1,44,-5316.987414873579,-10497.310850978281,,,,331.0,156.585
45,1,45,-5315.987414873579,-10496.310850978281,,,,333.0,156.567
46,1,46,-5314.987414873579,-10495.310850978281,,,,334.0,156.549
47,1,47,-5313.987414873579,-10494.310850978281,,,,337.0,156.528
48,1,48,-5312.987414873579,-10493.310850978281,,,,339.0,156.508
