fixIdx,legIdx,zoneIdx,tickLead,tickRace,time,lat,lng,alt,togo
10,0,1,451.097939125799,,,,,275.0,88.147
133,1,123,848.097939125799,,,,,1096.0,88.13
137,1,127,860.097939125799,,,,,1080.0,88.126
138,1,128,863.097939125799,,,,,1069.0,88.077
139,1,129,866.097939125799,,,,,1072.0,88.029
140,1,130,869.097939125799,,,,,1072.0,88.009
141,1,131,872.097939125799,,,,,1071.0,87.99
142,1,132,875.097939125799,,,,,1064.0,87.973
143,1,133,878.097939125799,,,,,1061.0,87.953
144,1,134,881.097939125799,,,,,1062.0,87.922
145,1,135,884.097939125799,,,,,1056.0,87.879
146,1,136,887.097939125799,,,,,1053.0,87.843
147,1,137,890.097939125799,,,,,1042.0,87.808
148,1,138,893.097939125799,,,,,1041.0,87.772
149,1,139,896.097939125799,,,,,1038.0,87.733
150,1,140,899.097939125799,,,,,1034.0,87.685
151,1,141,902.097939125799,,,,,1035.0,87.646
152,1,142,905.097939125799,,,,,1034.0,87.621
153,1,143,908.097939125799,,,,,1041.0,87.608
154,1,144,911.097939125799,,,,,1048.0,87.597
155,1,145,914.097939125799,,,,,1052.0,87.593
157,1,147,920.097939125799,,,,,1049.0,87.582
158,1,148,924.097939125799,,,,,1058.0,87.521
159,1,149,927.097939125799,,,,,1049.0,87.442
160,1,150,930.097939125799,,,,,1053.0,87.407
161,1,151,933.097939125799,,,,,1039.0,87.373
162,1,152,936.097939125799,,,,,1035.0,87.367
249,1,239,1197.097939125799,,,,,1047.0,87.364
252,1,242,1206.097939125799,,,,,1064.0,87.336
253,1,243,1209.097939125799,,,,,1063.0,87.292
254,1,244,1212.097939125799,,,,,1067.0,87.282
259,1,249,1227.097939125799,,,,,1079.0,87.255
264,1,254,1242.097939125799,,,,,1097.0,87.238
265,1,255,1245.097939125799,,,,,1103.0,87.224
268,1,258,1254.097939125799,,,,,1119.0,87.185
269,1,259,1257.097939125799,,,,,1118.0,87.146
270,1,260,1260.097939125799,,,,,1123.0,87.14
275,1,265,1275.097939125799,,,,,1148.0,87.111
281,1,271,1293.097939125799,,,,,1199.0,87.082
285,1,275,1305.097939125799,,,,,1232.0,87.049
286,1,276,1308.097939125799,,,,,1234.0,87.036
289,1,279,1317.097939125799,,,,,1261.0,87.008
290,1,280,1320.097939125799,,,,,1271.0,86.982
293,1,283,1329.097939125799,,,,,1288.0,86.969
294,1,284,1332.097939125799,,,,,1296.0,86.929
297,1,287,1341.097939125799,,,,,1311.0,86.905
298,1,288,1344.097939125799,,,,,1321.0,86.866
301,1,291,1353.097939125799,,,,,1337.0,86.853
302,1,292,1357.097939125799,,,,,1337.0,86.788
303,1,293,1360.097939125799,,,,,1343.0,86.784
306,1,296,1369.097939125799,,,,,1364.0,86.731
307,1,297,1372.097939125799,,,,,1361.0,86.681
308,1,298,1375.097939125799,,,,,1363.0,86.671
312,1,302,1387.097939125799,,,,,1395.0,86.626
313,1,303,1390.097939125799,,,,,1390.0,86.593
317,1,307,1402.097939125799,,,,,1413.0,86.586
318,1,308,1405.097939125799,,,,,1419.0,86.529
319,1,309,1408.097939125799,,,,,1411.0,86.487
320,1,310,1411.097939125799,,,,,1407.0,86.466
321,1,311,1414.097939125799,,,,,1415.0,86.457
337,1,327,1462.097939125799,,,,,1403.0,86.441
338,1,328,1465.097939125799,,,,,1405.0,86.421
344,1,334,1483.097939125799,,,,,1408.0,86.377
345,1,335,1486.097939125799,,,,,1409.0,86.315
346,1,336,1489.097939125799,,,,,1406.0,86.266
347,1,337,1492.097939125799,,,,,1409.0,86.228
348,1,338,1495.097939125799,,,,,1409.0,86.187
349,1,339,1498.097939125799,,,,,1410.0,86.149
350,1,340,1501.097939125799,,,,,1402.0,86.116
351,1,341,1504.097939125799,,,,,1406.0,86.095
352,1,342,1507.097939125799,,,,,1397.0,86.072
353,1,343,1510.097939125799,,,,,1402.0,86.054
