fixIdx,legIdx,zoneIdx,tickLead,tickRace,time,lat,lng,alt,togo
1,,,,,2020-01-07T05:16:07Z,-33.35875000,147.93250000,252.00,
2,,,,,2020-01-07T05:16:08Z,-33.35871667,147.93248333,253.00,
3,,,,,2020-01-07T05:16:09Z,-33.35866667,147.93245000,253.00,
4,,,,,2020-01-07T05:16:10Z,-33.35858333,147.93241667,253.00,
5,,,,,2020-01-07T05:16:11Z,-33.35850000,147.93236667,252.00,
6,,,,,2020-01-07T05:16:12Z,-33.35841667,147.93231667,253.00,
7,,,,,2020-01-07T05:16:13Z,-33.35831667,147.93225000,254.00,
8,,,,,2020-01-07T05:16:14Z,-33.35820000,147.93218333,255.00,
9,,,,,2020-01-07T05:16:15Z,-33.35808333,147.93211667,257.00,
10,,,,,2020-01-07T05:16:16Z,-33.35796667,147.93203333,257.00,
11,,,,,2020-01-07T05:16:17Z,-33.35785000,147.93196667,259.00,
12,,,,,2020-01-07T05:16:18Z,-33.35775000,147.93188333,261.00,
13,,,,,2020-01-07T05:16:19Z,-33.35765000,147.93178333,265.00,
14,,,,,2020-01-07T05:16:20Z,-33.35755000,147.93171667,268.00,
15,,,,,2020-01-07T05:16:21Z,-33.35746667,147.93161667,272.00,
16,,,,,2020-01-07T05:16:22Z,-33.35740000,147.93151667,276.00,
17,,,,,2020-01-07T05:16:23Z,-33.35731667,147.93140000,278.00,
18,,,,,2020-01-07T05:16:24Z,-33.35723333,147.93128333,279.00,
19,,,,,2020-01-07T05:16:25Z,-33.35715000,147.93116667,278.00,
20,,,,,2020-01-07T05:16:26Z,-33.35705000,147.93105000,278.00,
21,,,,,2020-01-07T05:16:27Z,-33.35695000,147.93096667,280.00,
22,,,,,2020-01-07T05:16:28Z,-33.35685000,147.93088333,284.00,
23,,,,,2020-01-07T05:16:29Z,-33.35675000,147.93080000,285.00,
24,,,,,2020-01-07T05:16:30Z,-33.35665000,147.93073333,288.00,
25,,,,,2020-01-07T05:16:31Z,-33.35655000,147.93068333,290.00,
26,,,,,2020-01-07T05:16:32Z,-33.35645000,147.93061667,296.00,
27,,,,,2020-01-07T05:16:33Z,-33.35635000,147.93056667,299.00,
28,,,,,2020-01-07T05:16:34Z,-33.35626667,147.93050000,301.00,
29,,,,,2020-01-07T05:16:35Z,-33.35616667,147.93041667,304.00,
30,,,,,2020-01-07T05:16:36Z,-33.35605000,147.93035000,306.00,
31,,,,,2020-01-07T05:16:37Z,-33.35595000,147.93028333,307.00,
32,,,,,2020-01-07T05:16:38Z,-33.35585000,147.93023333,308.00,
33,,,,,2020-01-07T05:16:39Z,-33.35575000,147.93015000,310.00,
34,,,,,2020-01-07T05:16:40Z,-33.35565000,147.93006667,311.00,
35,,,,,2020-01-07T05:16:41Z,-33.35556667,147.92998333,314.00,
